hetionet_gene_id	hetionet_entrez_id	hetionet_name	current_entrez_id	current_hgnc_symbol	original_ensembl_id	gene_type	all_samples_zero	mapping_status
Gene::143496	143496	OR52B4	143496	OR52B4	ENSG00000221996.6	protein_coding	False	mapped_by_hgnc_entrez
Gene::285941	285941	C7orf71	285941	LINC02860	ENSG00000222004.7	lncRNA	False	mapped_by_hgnc_entrez
Gene::149478	149478	BTBD19	149478	BTBD19	ENSG00000222009.8	protein_coding	False	mapped_by_hgnc_entrez
Gene::222234	222234	FAM185A	222234	FAM185A	ENSG00000222011.9	protein_coding	False	mapped_by_hgnc_entrez
Gene::84084	84084	RAB6C	84084	RAB6C	ENSG00000222014.6	protein_coding	False	mapped_by_hgnc_entrez
Gene::101928147	101928147	C21orf140	101928147	C21orf140	ENSG00000222018.2	protein_coding	False	mapped_by_hgnc_entrez
Gene::122706	122706	PSMB11	122706	PSMB11	ENSG00000222028.5	protein_coding	False	mapped_by_hgnc_entrez
Gene::641455	641455	POTEM	641455	POTEM	ENSG00000222036.8	protein_coding	False	mapped_by_hgnc_entrez
Gene::653781	653781	POTEJ	653781	POTEJ	ENSG00000222038.4	protein_coding	False	mapped_by_hgnc_entrez
Gene::149069	149069	DCDC2B	149069	DCDC2B	ENSG00000222046.2	protein_coding	False	mapped_by_hgnc_entrez
Gene::414236	414236	C10orf55	414236	C10orf55	ENSG00000222047.9	lncRNA	False	mapped_by_hgnc_entrez
Gene::399939	399939	TRIM49D1	399939	TRIM49D1	ENSG00000223417.8	protein_coding	False	mapped_by_hgnc_entrez
Gene::377630	377630	USP17L2	377630	USP17L2	ENSG00000223443.2	protein_coding	False	mapped_by_hgnc_entrez
Gene::118460	118460	EXOSC6	118460	EXOSC6	ENSG00000223496.3	protein_coding	False	mapped_by_hgnc_entrez
Gene::6293	6293	VPS52	6293	VPS52	ENSG00000223501.9	protein_coding	False	mapped_by_hgnc_entrez
Gene::146822	146822	CDRT15	146822	CDRT15	ENSG00000223510.7	protein_coding	False	mapped_by_hgnc_entrez
Gene::100130097	100130097	KIF28P	100130097	KIF28P	ENSG00000223519.8	transcribed_unitary_pseudogene	False	mapped_by_hgnc_entrez
Gene::284391	284391	ZNF844	284391	ZNF844	ENSG00000223547.10	protein_coding	False	mapped_by_hgnc_entrez
Gene::646588	646588	LOC646588	646588	LINC03007	ENSG00000223561.7	lncRNA	False	mapped_by_hgnc_entrez
Gene::100288520	100288520	USP17L15	100288520	USP17L15	ENSG00000223569.8	protein_coding	False	mapped_by_hgnc_entrez
Gene::548596	548596	CKMT1A	548596	CKMT1A	ENSG00000223572.10	protein_coding	False	mapped_by_hgnc_entrez
Gene::340900	340900	EBLN1	340900	EBLN1	ENSG00000223601.2	protein_coding	False	mapped_by_hgnc_entrez
Gene::100132154	100132154	LOC100132154	100132154	ANKRD30BP5	ENSG00000223602.2	unprocessed_pseudogene	False	mapped_by_hgnc_entrez
Gene::3045	3045	HBD	3045	HBD	ENSG00000223609.11	protein_coding	False	mapped_by_hgnc_entrez
Gene::170067	170067	SUPT20HL2	170067	SUPT20HL2	ENSG00000223611.6	protein_coding	False	mapped_by_hgnc_entrez
Gene::730291	730291	ZNF735	730291	ZNF735	ENSG00000223614.5	protein_coding	False	mapped_by_hgnc_entrez
Gene::342931	342931	RFPL4A	342931	RFPL4A	ENSG00000223638.3	protein_coding	False	mapped_by_hgnc_entrez
Gene::728819	728819	C1GALT1C1L	728819	C1GALT1C1L	ENSG00000223658.8	protein_coding	False	mapped_by_hgnc_entrez
Gene::100130302	100130302	SUPT20HL1	100130302	SUPT20HL1	ENSG00000223731.3	protein_coding	False	mapped_by_hgnc_entrez
Gene::10715	10715	CERS1	10715	CERS1	ENSG00000223802.8	protein_coding	False	mapped_by_hgnc_entrez
Gene::3115	3115	HLA-DPB1	3115	HLA-DPB1	ENSG00000223865.11	protein_coding	False	mapped_by_hgnc_entrez
Gene::114902	114902	C1QTNF5	114902	C1QTNF5	ENSG00000223953.6	protein_coding	False	mapped_by_hgnc_entrez
Gene::101927420	101927420	LOC101927420	101927420	DMTF1-AS1	ENSG00000224046.2	lncRNA	False	mapped_by_hgnc_entrez
Gene::80772	80772	CPTP	80772	CPTP	ENSG00000224051.7	protein_coding	False	mapped_by_hgnc_entrez
Gene::728036	728036	CT47A10	728036	CT47A10	ENSG00000224089.3	protein_coding	True	mapped_by_hgnc_entrez
Gene::105374250	105374250	LOC105374250	105374250	LINC02054	ENSG00000224153.3	lncRNA	False	mapped_by_hgnc_entrez
Gene::100996485	100996485	C5orf66	100996485	PITX1-AS1	ENSG00000224186.8	lncRNA	False	mapped_by_hgnc_entrez
Gene::101927763	101927763	LOC101927763	101927763	OLFM5P	ENSG00000224295.3	unitary_pseudogene	False	mapped_by_hgnc_entrez
Gene::642891	642891	CHL1-AS2	101927174	CHL1-AS2	ENSG00000224318.6	lncRNA	False	mapped_by_ncbi_merged_entrez
Gene::92340	92340	PRR29	92340	PRR29	ENSG00000224383.8	protein_coding	False	mapped_by_hgnc_entrez
Gene::721	721	C4B	721	C4B	ENSG00000224389.9	protein_coding	False	mapped_by_hgnc_entrez
Gene::100506115	100506115	LINC01272	100506115	PELATON	ENSG00000224397.7	lncRNA	False	mapped_by_hgnc_entrez
Gene::199800	199800	ADM5	199800	ADM5	ENSG00000224420.3	protein_coding	False	mapped_by_hgnc_entrez
Gene::100129239	100129239	CXorf51A	100129239	CXorf51A	ENSG00000224440.1	protein_coding	False	mapped_by_hgnc_entrez
Gene::342371	342371	ATXN1L	342371	ATXN1L	ENSG00000224470.8	protein_coding	False	mapped_by_hgnc_entrez
Gene::100130345	100130345	LOC100130345	100130345	CDHR18P	ENSG00000224479.6	transcribed_unitary_pseudogene	False	mapped_by_hgnc_entrez
Gene::221710	221710	SMIM13	221710	SMIM13	ENSG00000224531.6	protein_coding	False	mapped_by_hgnc_entrez
Gene::2880	2880	GPX5	2880	GPX5	ENSG00000224586.7	protein_coding	False	mapped_by_hgnc_entrez
Gene::101928436	101928436	LOC101928436	101928436	RNPC3-DT	ENSG00000224613.7	lncRNA	False	mapped_by_hgnc_entrez
Gene::729396	729396	GAGE12J	729396	GAGE12J	ENSG00000224659.2	protein_coding	False	mapped_by_hgnc_entrez
Gene::100144595	100144595	LOC100144595	100144595	GALNT13-AS1	ENSG00000224675.1	lncRNA	False	mapped_by_hgnc_entrez
Gene::729648	729648	ZNF812	729648	ZNF812P	ENSG00000224689.9	transcribed_unprocessed_pseudogene	False	mapped_by_hgnc_entrez
Gene::642778	642778	NPIPA3	642778	NPIPA3	ENSG00000224712.12	protein_coding	False	mapped_by_hgnc_entrez
Gene::653659	653659	TMEM183B	653659	TMEM183BP	ENSG00000224831.3	processed_pseudogene	False	mapped_by_hgnc_entrez
Gene::284184	284184	C17orf89	284184	NDUFAF8	ENSG00000224877.4	protein_coding	False	mapped_by_hgnc_entrez
Gene::729442	729442	GAGE12H	729442	GAGE12H	ENSG00000224902.5	protein_coding	False	mapped_by_hgnc_entrez
Gene::401399	401399	PRRT4	401399	PRRT4	ENSG00000224940.9	protein_coding	False	mapped_by_hgnc_entrez
Gene::105373381	105373381	LOC105373381	105373381	ECMXP	ENSG00000224963.3	transcribed_unitary_pseudogene	False	mapped_by_hgnc_entrez
Gene::101928566	101928566	TBC1D3P6	101928566	TBC1D3P6	ENSG00000224966.4	unprocessed_pseudogene	False	mapped_by_hgnc_entrez
Gene::387890	387890	TMEM233	387890	TMEM233	ENSG00000224982.4	protein_coding	False	mapped_by_hgnc_entrez
Gene::105373377	105373377	LOC105373377	105373377	PNMA6F	ENSG00000225110.3	protein_coding	False	mapped_by_hgnc_entrez
Gene::9842	9842	PLEKHM1	9842	PLEKHM1	ENSG00000225190.11	protein_coding	False	mapped_by_hgnc_entrez
Gene::645836	645836	USP17L3	645836	USP17L3	ENSG00000225327.3	protein_coding	False	mapped_by_hgnc_entrez
Gene::196993	196993	CT62	196993	CT62	ENSG00000225362.10	lncRNA	False	mapped_by_hgnc_entrez
Gene::729468	729468	LOC729468	729468	PGM5P4	ENSG00000225398.3	unprocessed_pseudogene	False	mapped_by_hgnc_entrez
Gene::100129480	100129480	MKRN2OS	100129480	MKRN2OS	ENSG00000225526.5	protein_coding	False	mapped_by_hgnc_entrez
Gene::100191040	100191040	C2CD4D	100191040	C2CD4D	ENSG00000225556.1	protein_coding	False	mapped_by_hgnc_entrez
Gene::100287798	100287798	FAM197Y8	105379268	FAM197Y8	ENSG00000225560.6	transcribed_processed_pseudogene	False	mapped_by_ncbi_merged_entrez
Gene::84627	84627	ZNF469	84627	ZNF469	ENSG00000225614.4	protein_coding	False	mapped_by_hgnc_entrez
Gene::105372682	105372682	LOC105372682	105372682	LINC01716	ENSG00000225657.2	lncRNA	False	mapped_by_hgnc_entrez
Gene::348262	348262	FAM195B	348262	MCRIP1	ENSG00000225663.8	protein_coding	False	mapped_by_hgnc_entrez
Gene::65010	65010	SLC26A6	65010	SLC26A6	ENSG00000225697.13	protein_coding	False	mapped_by_hgnc_entrez
Gene::728635	728635	DHRS4L1	728635	DHRS4L1	ENSG00000225766.10	transcribed_unprocessed_pseudogene	False	mapped_by_hgnc_entrez
Gene::346517	346517	OR6V1	346517	OR6V1	ENSG00000225781.1	protein_coding	False	mapped_by_hgnc_entrez
Gene::105375304	105375304	LOC105375304	105375304	SNX10-AS1	ENSG00000225792.2	lncRNA	False	mapped_by_hgnc_entrez
Gene::341112	341112	WARSP1	341112	WARS1P1	ENSG00000225802.3	unprocessed_pseudogene	False	mapped_by_hgnc_entrez
Gene::100129216	100129216	LOC100129216	100129216	DEFB131B	ENSG00000225805.4	protein_coding	False	mapped_by_hgnc_entrez
Gene::100128071	100128071	FAM229A	100128071	FAM229A	ENSG00000225828.1	protein_coding	False	mapped_by_hgnc_entrez
Gene::2074	2074	ERCC6	2074	ERCC6	ENSG00000225830.15	protein_coding	False	mapped_by_hgnc_entrez
Gene::284618	284618	RUSC1-AS1	284618	RUSC1-AS1	ENSG00000225855.7	lncRNA	False	mapped_by_hgnc_entrez
Gene::441581	441581	FRG2B	441581	FRG2B	ENSG00000225899.8	protein_coding	False	mapped_by_hgnc_entrez
Gene::101929163	101929163	LOC101929163	101929163	TSBP1-AS1	ENSG00000225914.3	lncRNA	False	mapped_by_hgnc_entrez
Gene::51406	51406	NOL7	51406	NOL7	ENSG00000225921.7	protein_coding	False	mapped_by_hgnc_entrez
Gene::100128553	100128553	CTAGE4	100128553	CTAGE4	ENSG00000225932.3	protein_coding	False	mapped_by_hgnc_entrez
Gene::101928448	101928448	C5orf67	101928448	C5orf67	ENSG00000225940.7	lncRNA	False	mapped_by_hgnc_entrez
Gene::4909	4909	NTF4	4909	NTF4	ENSG00000225950.8	protein_coding	False	mapped_by_hgnc_entrez
Gene::392617	392617	ELFN1	392617	ELFN1	ENSG00000225968.7	protein_coding	False	mapped_by_hgnc_entrez
Gene::101928527	101928527	PIGBOS1	101928527	PIGBOS1	ENSG00000225973.4	protein_coding	False	mapped_by_hgnc_entrez
Gene::728062	728062	CT47A6	728062	CT47A6	ENSG00000226023.6	protein_coding	True	mapped_by_hgnc_entrez
Gene::3121	3121	HLA-DQB3	3121	HLA-DQB3	ENSG00000226030.1	unprocessed_pseudogene	False	mapped_by_hgnc_entrez
Gene::729756	729756	PRSS44	729756	PRSS44P	ENSG00000226074.5	transcribed_unitary_pseudogene	False	mapped_by_hgnc_entrez
Gene::647310	647310	TEX22	647310	TEX22	ENSG00000226174.7	protein_coding	False	mapped_by_hgnc_entrez
Gene::143502	143502	OR52I2	143502	OR52I2	ENSG00000226288.2	protein_coding	False	mapped_by_hgnc_entrez
Gene::728763	728763	CROCC2	728763	CROCC2	ENSG00000226321.5	protein_coding	False	mapped_by_hgnc_entrez
Gene::139425	139425	DCAF8L1	139425	DCAF8L1	ENSG00000226372.4	protein_coding	False	mapped_by_hgnc_entrez
Gene::196415	196415	C12orf77	196415	LINC02909	ENSG00000226397.8	lncRNA	False	mapped_by_hgnc_entrez
Gene::392197	392197	USP17L7	392197	USP17L7	ENSG00000226430.7	protein_coding	False	mapped_by_hgnc_entrez
Gene::79134	79134	TMEM185B	79134	TMEM185B	ENSG00000226479.4	protein_coding	False	mapped_by_hgnc_entrez
Gene::105373984	105373984	LOC105373984	105373984	ROSSALIND	ENSG00000226508.1	lncRNA	False	mapped_by_hgnc_entrez
Gene::728042	728042	CT47A9	728042	CT47A9	ENSG00000226600.3	protein_coding	True	mapped_by_hgnc_entrez
Gene::388780	388780	LOC388780	388780	LINC03086	ENSG00000226644.5	lncRNA	False	mapped_by_hgnc_entrez
Gene::285643	285643	KIF4B	285643	KIF4B	ENSG00000226650.6	protein_coding	False	mapped_by_hgnc_entrez
Gene::100507170	100507170	CT47A12	100507170	CT47A12	ENSG00000226685.4	protein_coding	True	mapped_by_hgnc_entrez
Gene::102725191	102725191	LOC102725191	102725191	C7orf78	ENSG00000226690.8	protein_coding	False	mapped_by_hgnc_entrez
Gene::440498	440498	HSBP1L1	440498	HSBP1L1	ENSG00000226742.4	protein_coding	False	mapped_by_hgnc_entrez
Gene::259292	259292	TAS2R46	259292	TAS2R46	ENSG00000226761.3	protein_coding	False	mapped_by_hgnc_entrez
Gene::100170229	100170229	SRRM5	100170229	SRRM5	ENSG00000226763.5	protein_coding	False	mapped_by_hgnc_entrez
Gene::441531	441531	PGAM4	441531	PGAM4	ENSG00000226784.3	protein_coding	False	mapped_by_hgnc_entrez
Gene::389690	389690	MROH5	389690	MROH5	ENSG00000226807.6	polymorphic_pseudogene	False	mapped_by_hgnc_entrez
Gene::100288413	100288413	ERVMER34-1	100288413	ERVMER34-1	ENSG00000226887.8	protein_coding	False	mapped_by_hgnc_entrez
Gene::105379197	105379197	LOC105379197	105379197	PDZPH1P	ENSG00000226926.7	transcribed_unitary_pseudogene	False	mapped_by_hgnc_entrez
Gene::255313	255313	CT47A11	255313	CT47A11	ENSG00000226929.3	protein_coding	True	mapped_by_hgnc_entrez
Gene::378951	378951	RBMY1J	378951	RBMY1J	ENSG00000226941.8	protein_coding	False	mapped_by_hgnc_entrez
Gene::4049	4049	LTA	4049	LTA	ENSG00000226979.9	protein_coding	False	mapped_by_hgnc_entrez
Gene::56967	56967	C14orf132	56967	C14orf132	ENSG00000227051.7	protein_coding	False	mapped_by_hgnc_entrez
Gene::9277	9277	WDR46	9277	WDR46	ENSG00000227057.10	protein_coding	False	mapped_by_hgnc_entrez
Gene::647589	647589	ANHX	647589	ANHX	ENSG00000227059.7	protein_coding	False	mapped_by_hgnc_entrez
Gene::100131827	100131827	ZNF717	100131827	ZNF717	ENSG00000227124.11	protein_coding	False	mapped_by_hgnc_entrez
Gene::728386	728386	USP17L5	728386	USP17L5	ENSG00000227140.3	protein_coding	False	mapped_by_hgnc_entrez
Gene::729246	729246	PRR20D	729246	PRR20D	ENSG00000227151.4	protein_coding	True	mapped_by_hgnc_entrez
Gene::728695	728695	SPANXB1	728695	SPANXB1	ENSG00000227234.2	protein_coding	False	mapped_by_hgnc_entrez
Gene::100144748	100144748	KLLN	100144748	KLLN	ENSG00000227268.5	protein_coding	False	mapped_by_hgnc_entrez
Gene::100505570	100505570	LOC100505570	100505570	LINC02708	ENSG00000227306.1	lncRNA	False	mapped_by_hgnc_entrez
Gene::8505	8505	PARG	8505	PARG	ENSG00000227345.8	protein_coding	False	mapped_by_hgnc_entrez
Gene::441282	441282	AKR1B15	441282	AKR1B15	ENSG00000227471.9	protein_coding	False	mapped_by_hgnc_entrez
Gene::100132399	100132399	GAGE12D	100132399	GAGE12D	ENSG00000227488.2	protein_coding	True	mapped_by_hgnc_entrez
Gene::113178	113178	SCAMP4	113178	SCAMP4	ENSG00000227500.10	protein_coding	False	mapped_by_hgnc_entrez
Gene::4050	4050	LTB	4050	LTB	ENSG00000227507.3	protein_coding	False	mapped_by_hgnc_entrez
Gene::100287205	100287205	USP17L12	100287205	USP17L12	ENSG00000227551.1	protein_coding	True	mapped_by_hgnc_entrez
Gene::647286	647286	RD3L	647286	RD3L	ENSG00000227729.5	protein_coding	False	mapped_by_hgnc_entrez
Gene::414061	414061	DNAJB3	414061	DNAJB3P	ENSG00000227802.1	transcribed_processed_pseudogene	False	mapped_by_hgnc_entrez
Gene::729059	729059	C1orf234	729059	TEX46	ENSG00000227868.6	protein_coding	False	mapped_by_hgnc_entrez
Gene::100507027	100507027	MRLN	100507027	MRLN	ENSG00000227877.7	protein_coding	False	mapped_by_hgnc_entrez
Gene::246721	246721	POLR2J2	246721	POLR2J2	ENSG00000228049.7	protein_coding	False	mapped_by_hgnc_entrez
Gene::284257	284257	BOD1L2	284257	BOD1L2	ENSG00000228075.5	protein_coding	False	mapped_by_hgnc_entrez
Gene::3448	3448	IFNA14	3448	IFNA14	ENSG00000228083.3	protein_coding	False	mapped_by_hgnc_entrez
Gene::197350	197350	CASP16	197350	CASP16P	ENSG00000228146.8	transcribed_unitary_pseudogene	False	mapped_by_hgnc_entrez
Gene::286238	286238	LOC286238	286238	LINC02843	ENSG00000228189.5	lncRNA	False	mapped_by_hgnc_entrez
Gene::127062	127062	OR2M3	127062	OR2M3	ENSG00000228198.3	protein_coding	False	mapped_by_hgnc_entrez
Gene::4509	4509	ATP8	4509	MT-ATP8	ENSG00000228253.1	protein_coding	False	mapped_by_hgnc_entrez
Gene::5005	5005	ORM2	5005	ORM2	ENSG00000228278.5	protein_coding	False	mapped_by_hgnc_entrez
Gene::55009	55009	C19orf24	55009	FAM174C	ENSG00000228300.14	protein_coding	False	mapped_by_hgnc_entrez
Gene::100128731	100128731	OST4	100128731	OST4	ENSG00000228474.6	protein_coding	False	mapped_by_hgnc_entrez
Gene::653282	653282	CT47A7	653282	CT47A7	ENSG00000228517.3	protein_coding	True	mapped_by_hgnc_entrez
Gene::102723886	102723886	LOC102723886	102723886	LYPLAL1-AS1	ENSG00000228536.3	lncRNA	False	mapped_by_hgnc_entrez
Gene::317703	317703	VN1R4	317703	VN1R4	ENSG00000228567.3	protein_coding	False	mapped_by_hgnc_entrez
Gene::643988	643988	C1orf233	643988	FNDC10	ENSG00000228594.4	protein_coding	False	mapped_by_hgnc_entrez
Gene::644672	644672	CLDN25	644672	CLDN25	ENSG00000228607.2	protein_coding	False	mapped_by_hgnc_entrez
Gene::169834	169834	ZNF883	169834	ZNF883	ENSG00000228623.6	transcribed_unprocessed_pseudogene	False	mapped_by_hgnc_entrez
Gene::389333	389333	PROB1	389333	PROB1	ENSG00000228672.4	protein_coding	False	mapped_by_hgnc_entrez
Gene::100506084	100506084	ARL17B	100506084	ARL17B	ENSG00000228696.10	protein_coding	False	mapped_by_hgnc_entrez
Gene::1719	1719	DHFR	1719	DHFR	ENSG00000228716.7	protein_coding	False	mapped_by_hgnc_entrez
Gene::401251	401251	SAPCD1	401251	SAPCD1	ENSG00000228727.9	protein_coding	False	mapped_by_hgnc_entrez
Gene::441521	441521	CT45A5	441521	CT45A5	ENSG00000228836.8	protein_coding	False	mapped_by_hgnc_entrez
Gene::728419	728419	USP17L30	728419	USP17L30	ENSG00000228856.3	protein_coding	True	mapped_by_hgnc_entrez
Gene::728137	728137	TSPY3	728137	TSPY3	ENSG00000228927.10	protein_coding	False	mapped_by_hgnc_entrez
Gene::6171	6171	RPL41	6171	RPL41	ENSG00000229117.9	protein_coding	False	mapped_by_hgnc_entrez
Gene::643847	643847	PGA4	643847	PGA4	ENSG00000229183.8	protein_coding	False	mapped_by_hgnc_entrez
Gene::102723727	102723727	LOC102723727	102723727	LPGAT1-AS1	ENSG00000229258.6	lncRNA	False	mapped_by_hgnc_entrez
Gene::729974	729974	RFPL4AL1	729974	RFPL4AL1	ENSG00000229292.2	protein_coding	False	mapped_by_hgnc_entrez
Gene::5004	5004	ORM1	5004	ORM1	ENSG00000229314.5	protein_coding	False	mapped_by_hgnc_entrez
Gene::643365	643365	LINC00452	643365	LINC00452	ENSG00000229373.9	lncRNA	False	mapped_by_hgnc_entrez
Gene::253970	253970	SFTA3	253970	SFTA3	ENSG00000229415.10	lncRNA	False	mapped_by_hgnc_entrez
Gene::646424	646424	SPINK8	646424	SPINK8	ENSG00000229453.2	protein_coding	False	mapped_by_hgnc_entrez
Gene::197135	197135	PATL2	197135	PATL2	ENSG00000229474.7	protein_coding	False	mapped_by_hgnc_entrez
Gene::390010	390010	NKX1-2	390010	NKX1-2	ENSG00000229544.9	protein_coding	False	mapped_by_hgnc_entrez
