hetionet_gene_id	entrez_id	hetionet_name	current_hgnc_symbol	reason
Gene::100996365	100996365	LOC100996365		entrez_not_in_current_hgnc
Gene::100996379	100996379	LOC100996379		entrez_not_in_current_hgnc
Gene::100996401	100996401	LOC100996401		entrez_not_in_current_hgnc
Gene::100996413	100996413	LOC100996413		entrez_not_in_current_hgnc
Gene::100996414	100996414	LOC100996414		entrez_not_in_current_hgnc
Gene::100996420	100996420	DNM1P50		merged_into_linked_node:Gene::101927579
Gene::100996461	100996461	LOC100996461		entrez_not_in_current_hgnc
Gene::100996556	100996556	CA15P3	CA15P3	no_kirc_feature_for_this_gene
Gene::100996573	100996573	LOC100996573		entrez_not_in_current_hgnc
Gene::100996574	100996574	LOC100996574		entrez_not_in_current_hgnc
Gene::100996598	100996598	LOC100996598		entrez_not_in_current_hgnc
Gene::100996634	100996634	LOC100996634		entrez_not_in_current_hgnc
Gene::100996637	100996637	LOC100996637		entrez_not_in_current_hgnc
Gene::100996643	100996643	LOC100996643		entrez_not_in_current_hgnc
Gene::100996664	100996664	LOC100996664		entrez_not_in_current_hgnc
Gene::100996701	100996701	LOC100996701		entrez_not_in_current_hgnc
Gene::100996709	100996709	LOC100996709		entrez_not_in_current_hgnc
Gene::100996713	100996713	LOC100996713		entrez_not_in_current_hgnc
Gene::100996720	100996720	LOC100996720		entrez_not_in_current_hgnc
Gene::100996721	100996721	LOC100996721		entrez_not_in_current_hgnc
Gene::100996747	100996747	LOC100996747		entrez_not_in_current_hgnc
Gene::100996750	100996750	LOC100996750		entrez_not_in_current_hgnc
Gene::100996761	100996761	LOC100996761		entrez_not_in_current_hgnc
Gene::100996792	100996792	LOC100996792		entrez_not_in_current_hgnc
Gene::100996813	100996813	LOC100996813		entrez_not_in_current_hgnc
Gene::101059906	101059906	LOC101059906		entrez_not_in_current_hgnc
Gene::101059935	101059935	LOC101059935		entrez_not_in_current_hgnc
Gene::101060017	101060017	LOC101060017		entrez_not_in_current_hgnc
Gene::101060022	101060022	LOC101060022		entrez_not_in_current_hgnc
Gene::101060024	101060024	LOC101060024		entrez_not_in_current_hgnc
Gene::101060026	101060026	LOC101060026		entrez_not_in_current_hgnc
Gene::101060179	101060179	LOC101060179		entrez_not_in_current_hgnc
Gene::101060181	101060181	LOC101060181		entrez_not_in_current_hgnc
Gene::101060256	101060256	LOC101060256		entrez_not_in_current_hgnc
Gene::101060275	101060275	LOC101060275		entrez_not_in_current_hgnc
Gene::101060328	101060328	LOC101060328		entrez_not_in_current_hgnc
Gene::101060341	101060341	LOC101060341		entrez_not_in_current_hgnc
Gene::101060386	101060386	LOC101060386		entrez_not_in_current_hgnc
Gene::101060399	101060399	LOC101060399		entrez_not_in_current_hgnc
Gene::101060400	101060400	LOC101060400		entrez_not_in_current_hgnc
Gene::101060405	101060405	LOC101060405		entrez_not_in_current_hgnc
Gene::101060442	101060442	LOC101060442		entrez_not_in_current_hgnc
Gene::101060443	101060443	LOC101060443		entrez_not_in_current_hgnc
