hetionet_gene_id	hetionet_gene_symbol	entrez_id	ensembl_id	gene_symbol
Gene::11160	ERLIN2	11160	ENSG00000147475	ERLIN2
Gene::54212	SNTG1	54212	ENSG00000147481	SNTG1
Gene::137902	PXDNL	137902	ENSG00000147485	PXDNL
Gene::9705	ST18	9705	ENSG00000147488	ST18
Gene::8601	RGS20	8601	ENSG00000147509	RGS20
Gene::6867	TACC1	6867	ENSG00000147526	TACC1
Gene::51125	GOLGA7	51125	ENSG00000147533	GOLGA7
Gene::84513	PPAPDC1B	84513	ENSG00000147535	PLPP5
Gene::84296	GINS4	84296	ENSG00000147536	GINS4
Gene::54904	WHSC1L1	54904	ENSG00000147548	NSD3
Gene::85479	DNAJC5B	85479	ENSG00000147570	DNAJC5B
Gene::1392	CRH	1392	ENSG00000147571	CRH
Gene::84675	TRIM55	84675	ENSG00000147573	TRIM55
Gene::137872	ADHFE1	137872	ENSG00000147576	ADHFE1
Gene::28957	MRPS28	28957	ENSG00000147586	MRPS28
Gene::5375	PMP2	5375	ENSG00000147588	PMP2
Gene::51110	LACTB2	51110	ENSG00000147592	LACTB2
Gene::63978	PRDM14	63978	ENSG00000147596	PRDM14
Gene::7013	TERF1	7013	ENSG00000147601	TERF1
Gene::6129	RPL7	6129	ENSG00000147604	RPL7
Gene::115111	SLC26A7	115111	ENSG00000147606	SLC26A7
Gene::85481	PSKH2	85481	ENSG00000147613	PSKH2
Gene::245972	ATP6V0D2	245972	ENSG00000147614	ATP6V0D2
Gene::55638	SYBU	55638	ENSG00000147642	SYBU
Gene::1807	DPYS	1807	ENSG00000147647	DPYS
Gene::92140	MTDH	92140	ENSG00000147649	MTDH
Gene::29967	LRP12	29967	ENSG00000147650	LRP12
Gene::9166	EBAG9	9166	ENSG00000147654	EBAG9
Gene::340419	RSPO2	340419	ENSG00000147655	RSPO2
Gene::5440	POLR2K	5440	ENSG00000147669	POLR2K
Gene::114569	MAL2	114569	ENSG00000147676	MAL2
Gene::8667	EIF3H	8667	ENSG00000147677	EIF3H
Gene::84294	UTP23	84294	ENSG00000147679	UTP23
Gene::4715	NDUFB9	4715	ENSG00000147684	NDUFB9
Gene::83940	TATDN1	83940	ENSG00000147687	TATDN1
Gene::84985	FAM83A	84985	ENSG00000147689	SACK1A
Gene::56169	GSDMC	56169	ENSG00000147697	GSDMC
Gene::51059	FAM135B	51059	ENSG00000147724	FAM135B
Gene::7553	ZNF7	7553	ENSG00000147789	ZNF7
Gene::80728	ARHGAP39	80728	ENSG00000147799	ARHGAP39
Gene::55630	SLC39A4	55630	ENSG00000147804	SLC39A4
Gene::93100	NAPRT	93100	ENSG00000147813	NAPRT
Gene::7436	VLDLR	7436	ENSG00000147852	VLDLR
Gene::50808	AK3	50808	ENSG00000147853	AK3
Gene::115426	UHRF2	115426	ENSG00000147854	UHRF2
Gene::4781	NFIB	4781	ENSG00000147862	NFIB
Gene::9350	CER1	9350	ENSG00000147869	CER1
Gene::123	PLIN2	123	ENSG00000147872	PLIN2
Gene::3442	IFNA5	3442	ENSG00000147873	IFNA5
Gene::54801	HAUS6	54801	ENSG00000147874	HAUS6
Gene::1030	CDKN2B	1030	ENSG00000147883	CDKN2B
Gene::3449	IFNA16	3449	ENSG00000147885	IFNA16
Gene::1029	CDKN2A	1029	ENSG00000147889	CDKN2A
Gene::203228	C9orf72	203228	ENSG00000147894	C9orf72
Gene::56832	IFNK	56832	ENSG00000147896	IFNK
Gene::84186	ZCCHC7	84186	ENSG00000147905	ZCCHC7
Gene::26267	FBXO10	26267	ENSG00000147912	FBXO10
Gene::10280	SIGMAR1	10280	ENSG00000147955	SIGMAR1
Gene::220869	CBWD5	220869	ENSG00000147996	ZNG1E
Gene::84131	CEP78	84131	ENSG00000148019	CEP78
Gene::4915	NTRK2	4915	ENSG00000148053	NTRK2
Gene::414328	IDNK	414328	ENSG00000148057	IDNK
Gene::53358	SHC3	53358	ENSG00000148082	SHC3
Gene::549	AUH	549	ENSG00000148090	AUH
Gene::84641	HIATL1	84641	ENSG00000148110	SLC71A2
Gene::84909	C9orf3	84909	ENSG00000148120	AOPEP
Gene::54886	LPPR1	54886	ENSG00000148123	PLPPR1
Gene::138804	OR13C4	138804	ENSG00000148136	OR13C4
Gene::58499	ZNF462	58499	ENSG00000148143	ZNF462
Gene::58493	INIP	58493	ENSG00000148153	INIP
Gene::7357	UGCG	7357	ENSG00000148154	UGCG
Gene::10880	ACTL7B	10880	ENSG00000148156	ACTL7B
Gene::401548	SNX30	401548	ENSG00000148158	SNX30
Gene::2040	STOM	2040	ENSG00000148175	STOM
Gene::2934	GSN	2934	ENSG00000148180	GSN
Gene::92399	MRRF	92399	ENSG00000148187	MRRF
Gene::2649	NR6A1	2649	ENSG00000148200	NR6A1
Gene::286204	CRB2	286204	ENSG00000148204	CRB2
Gene::392391	OR5C1	392391	ENSG00000148215	OR5C1
Gene::210	ALAD	210	ENSG00000148218	ALAD
Gene::23245	ASTN2	23245	ENSG00000148219	ASTN2
Gene::114987	WDR31	114987	ENSG00000148225	WDR31
Gene::54107	POLE3	54107	ENSG00000148229	POLE3
Gene::6836	SURF4	6836	ENSG00000148248	SURF4
Gene::26301	GBGT1	26301	ENSG00000148288	GBGT1
Gene::6834	SURF1	6834	ENSG00000148290	SURF1
Gene::6835	SURF2	6835	ENSG00000148291	SURF2
Gene::6838	SURF6	6838	ENSG00000148296	SURF6
Gene::6837	MED22	6837	ENSG00000148297	MED22
Gene::57109	REXO4	57109	ENSG00000148300	REXO4
Gene::6130	RPL7A	6130	ENSG00000148303	RPL7A
Gene::9328	GTF3C5	9328	ENSG00000148308	GTF3C5
Gene::140459	ASB6	140459	ENSG00000148331	ASB6
Gene::80142	PTGES2	80142	ENSG00000148334	PTGES2
Gene::28989	NTMT1	28989	ENSG00000148335	NTMT1
Gene::25792	CIZ1	25792	ENSG00000148337	CIZ1
Gene::114789	SLC25A25	114789	ENSG00000148339	SLC25A25
Gene::56904	SH3GLB2	56904	ENSG00000148341	SH3GLB2
Gene::84895	FAM73B	84895	ENSG00000148343	MIGA2
Gene::9536	PTGES	9536	ENSG00000148344	PTGES
Gene::3934	LCN2	3934	ENSG00000148346	LCN2
Gene::90678	LRSAM1	90678	ENSG00000148356	LRSAM1
Gene::256158	HMCN2	256158	ENSG00000148357	HMCN2
Gene::57720	GPR107	57720	ENSG00000148358	GPR107
Gene::286257	C9orf142	286257	ENSG00000148362	PAXX
Gene::91734	IDI2	91734	ENSG00000148377	IDI2
Gene::56623	INPP5E	56623	ENSG00000148384	INPP5E
Gene::392399	LCN9	392399	ENSG00000148386	LCN9
Gene::9919	SEC16A	9919	ENSG00000148396	SEC16A
Gene::92715	DPH7	92715	ENSG00000148399	DPH7
Gene::4851	NOTCH1	4851	ENSG00000148400	NOTCH1
Gene::774	CACNA1B	774	ENSG00000148408	CACNA1B
Gene::138151	NACC2	138151	ENSG00000148411	NACC2
Gene::254427	PROSER2	254427	ENSG00000148426	PROSER2
Gene::9712	USP6NL	9712	ENSG00000148429	USP6NL
Gene::23412	COMMD3	23412	ENSG00000148444	COMMD3
Gene::22921	MSRB2	22921	ENSG00000148450	MSRB2
Gene::23590	PDSS1	23590	ENSG00000148459	PDSS1
Gene::221061	FAM171A1	221061	ENSG00000148468	FAM171A1
Gene::80013	FAM188A	80013	ENSG00000148481	MINDY3
Gene::221074	SLC39A12	221074	ENSG00000148482	SLC39A12
Gene::653567	TMEM236	653567	ENSG00000148483	TMEM236
Gene::6251	RSU1	6251	ENSG00000148484	RSU1
Gene::338596	ST8SIA6	338596	ENSG00000148488	ST8SIA6
Gene::56288	PARD3	56288	ENSG00000148498	PARD3
Gene::91074	ANKRD30A	91074	ENSG00000148513	ANKRD30A
Gene::6935	ZEB1	6935	ENSG00000148516	ZEB1
Gene::220965	FAM13C	220965	ENSG00000148541	FAM13C
Gene::29982	NRBF2	29982	ENSG00000148572	NRBF2
Gene::29974	A1CF	29974	ENSG00000148584	A1CF
Gene::92211	CDHR1	92211	ENSG00000148600	CDHR1
Gene::26103	LRIT1	26103	ENSG00000148602	LRIT1
Gene::5995	RGR	5995	ENSG00000148604	RGR
Gene::11128	POLR3A	11128	ENSG00000148606	POLR3A
Gene::26091	HERC4	26091	ENSG00000148634	HERC4
Gene::83938	C10orf11	83938	ENSG00000148655	LRMDA
Gene::818	CAMK2G	818	ENSG00000148660	CAMK2G
Gene::10974	ADIRF	10974	ENSG00000148671	ADIRF
Gene::2746	GLUD1	2746	ENSG00000148672	GLUD1
Gene::27063	ANKRD1	27063	ENSG00000148677	ANKRD1
Gene::3363	HTR7	3363	ENSG00000148680	HTR7
Gene::10556	RPP30	10556	ENSG00000148688	RPP30
Gene::118924	FRA10AC1	118924	ENSG00000148690	FRA10AC1
Gene::120	ADD3	120	ENSG00000148700	ADD3
Gene::3026	HABP2	3026	ENSG00000148702	HABP2
Gene::11023	VAX1	11023	ENSG00000148704	VAX1
Gene::54788	DNAJB12	54788	ENSG00000148719	DNAJB12
Gene::1979	EIF4EBP2	1979	ENSG00000148730	EIF4EBP2
Gene::64106	NPFFR1	64106	ENSG00000148734	NPFFR1
Gene::79949	PLEKHS1	79949	ENSG00000148735	PLEKHS1
Gene::6934	TCF7L2	6934	ENSG00000148737	TCF7L2
Gene::4288	MKI67	4288	ENSG00000148773	MKI67
Gene::1586	CYP17A1	1586	ENSG00000148795	CYP17A1
Gene::9118	INA	9118	ENSG00000148798	INA
Gene::282969	FUOM	282969	ENSG00000148803	FUOM
Gene::80313	LRRC27	80313	ENSG00000148814	LRRC27
Gene::92170	MTG1	92170	ENSG00000148824	MTG1
Gene::84504	NKX6-2	84504	ENSG00000148826	NKX6-2
Gene::196743	PAOX	196743	ENSG00000148832	PAOX
Gene::9446	GSTO1	9446	ENSG00000148834	GSTO1
Gene::6877	TAF5	6877	ENSG00000148835	TAF5
Gene::23082	PPRC1	23082	ENSG00000148840	PPRC1
Gene::85450	ITPRIP	85450	ENSG00000148841	ITPRIP
Gene::54805	CNNM2	54805	ENSG00000148842	CNNM2
Gene::22984	PDCD11	22984	ENSG00000148843	PDCD11
Gene::8038	ADAM12	8038	ENSG00000148848	ADAM12
Gene::6001	RGS10	6001	ENSG00000148908	RGS10
Gene::84280	BTBD10	84280	ENSG00000148925	BTBD10
Gene::133	ADM	133	ENSG00000148926	ADM
Gene::2620	GAS2	2620	ENSG00000148935	GAS2
Gene::159963	SLC5A12	159963	ENSG00000148942	SLC5A12
