ensembl_id	gene_symbol	entrez_id	hetionet_gene_id	hetionet_gene_symbol	mapping_status
ENSG00000143952	VPS54	51542	Gene::51542	VPS54	mapped
ENSG00000171425	ZNF581	51545	Gene::51545	ZNF581	mapped
ENSG00000187531	SIRT7	51547	Gene::51547	SIRT7	mapped
ENSG00000077463	SIRT6	51548	Gene::51548	SIRT6	mapped
ENSG00000100311	PDGFB	5155	Gene::5155	PDGFB	mapped
ENSG00000100865	CINP	51550	Gene::51550	CINP	mapped
ENSG00000119396	RAB14	51552	Gene::51552	RAB14	mapped
ENSG00000129048	ACKR4	51554	Gene::51554	ACKR4	mapped
ENSG00000114757	PEX5L	51555	Gene::51555	PEX5L	mapped
ENSG00000146166	LGSN	51557	Gene::51557	LGSN	mapped
ENSG00000111696	NT5DC3	51559	Gene::51559	NT5DC3	mapped
ENSG00000134853	PDGFRA	5156	Gene::5156	PDGFRA	mapped
ENSG00000154917	RAB6B	51560	Gene::51560	RAB6B	mapped
ENSG00000110944	IL23A	51561	Gene::51561	IL23A	mapped
ENSG00000151332	MBIP	51562	Gene::51562	MBIP	mapped
ENSG00000061273	HDAC7	51564	Gene::51564	HDAC7	mapped
ENSG00000102401	ARMCX3	51566	Gene::51566	ARMCX3	mapped
ENSG00000111802	TDP2	51567	Gene::51567	TDP2	mapped
ENSG00000120686	UFM1	51569	Gene::51569	UFM1	mapped
ENSG00000104213	PDGFRL	5157	Gene::5157	PDGFRL	mapped
ENSG00000153310	CYRIB	51571	Gene::51571	FAM49B	mapped
ENSG00000006007	GDE1	51573	Gene::51573	GDE1	mapped
ENSG00000174720	LARP7	51574	Gene::51574	LARP7	mapped
ENSG00000089048	ESF1	51575	Gene::51575	ESF1	mapped
ENSG00000133256	PDE6B	5158	Gene::5158	PDE6B	mapped
ENSG00000155096	AZIN1	51582	Gene::51582	AZIN1	mapped
ENSG00000165494	PCF11	51585	Gene::51585	PCF11	mapped
ENSG00000099917	MED15	51586	Gene::51586	MED15	mapped
ENSG00000105229	PIAS4	51588	Gene::51588	PIAS4	mapped
ENSG00000113721	PDGFRB	5159	Gene::5159	PDGFRB	mapped
ENSG00000197323	TRIM33	51592	Gene::51592	TRIM33	mapped
ENSG00000087087	SRRT	51593	Gene::51593	SRRT	mapped
ENSG00000151779	NBAS	51594	Gene::51594	NBAS	mapped
ENSG00000112514	CUTA	51596	Gene::51596	CUTA	mapped
ENSG00000105699	LSR	51599	Gene::51599	LSR	mapped
ENSG00000159199	ATP5MC1	516	Gene::516	ATP5G1	mapped
ENSG00000131828	PDHA1	5160	Gene::5160	PDHA1	mapped
ENSG00000144182	LIPT1	51601	Gene::51601	LIPT1	mapped
ENSG00000055044	NOP58	51602	Gene::51602	NOP58	mapped
ENSG00000010165	METTL13	51603	Gene::51603	METTL13	mapped
ENSG00000124155	PIGT	51604	Gene::51604	PIGT	mapped
ENSG00000089195	TRMT6	51605	Gene::51605	TRMT6	mapped
ENSG00000047249	ATP6V1H	51606	Gene::51606	ATP6V1H	mapped
ENSG00000239857	GET4	51608	Gene::51608	GET4	mapped
ENSG00000163114	PDHA2	5161	Gene::5161	PDHA2	mapped
ENSG00000117543	DPH5	51611	Gene::51611	DPH5	mapped
ENSG00000125991	ERGIC3	51614	Gene::51614	ERGIC3	mapped
ENSG00000187325	TAF9B	51616	Gene::51616	TAF9B	mapped
ENSG00000170091	NSG2	51617	Gene::51617	HMP19	mapped
ENSG00000078967	UBE2D4	51619	Gene::51619	UBE2D4	mapped
ENSG00000168291	PDHB	5162	Gene::5162	PDHB	mapped
ENSG00000169926	KLF13	51621	Gene::51621	KLF13	mapped
ENSG00000122674	CCZ1	51622	Gene::51622	CCZ1	mapped
ENSG00000138036	DYNC2LI1	51626	Gene::51626	DYNC2LI1	mapped
ENSG00000013306	SLC25A39	51629	Gene::51629	SLC25A39	mapped
ENSG00000152256	PDK1	5163	Gene::5163	PDK1	mapped
ENSG00000146963	LUC7L2	51631	Gene::51631	LUC7L2	mapped
